iter	Passed	Remaining
785	46836	12751
786	46906	12695
787	46977	12638
788	47057	12584
789	47124	12526
790	47191	12469
791	47256	12410
792	47330	12354
793	47397	12296
794	47456	12237
795	47521	12178
796	47588	12120
797	47650	12061
798	47707	12001
799	47766	11941
800	47830	11883
801	47893	11823
802	47951	11763
803	48014	11704
804	48071	11644
805	48129	11584
806	48194	11525
807	48255	11466
808	48313	11406
809	48373	11346
810	48435	11287
811	48498	11228
812	48560	11169
813	48622	11110
814	48685	11051
815	48743	10991
816	48802	10931
817	48862	10871
818	48924	10812
819	48989	10753
820	49049	10694
821	49108	10634
822	49171	10575
823	49231	10515
824	49293	10456
825	49352	10396
826	49412	10336
827	49473	10277
828	49529	10216
829	49591	10157
830	49652	10097
831	49709	10037
832	49778	9979
833	49836	9919
834	49897	9860
835	49959	9800
836	50024	9741
837	50089	9683
838	50151	9623
839	50213	9564
840	50276	9505
841	50345	9447
842	50408	9388
843	50472	9329
844	50532	9269
845	50591	9209
846	50652	9149
847	50714	9090
848	50776	9030
849	50841	8972
850	50897	8911
851	50960	8852
852	51027	8793
853	51087	8733
854	51147	8674
855	51203	8613
856	51262	8553
857	51324	8494
858	51380	8433
859	51439	8373
860	51501	8314
861	51558	8254
862	51616	8194
863	51678	8134
864	51738	8074
865	51798	8015
866	51860	7955
867	51922	7896
868	51985	7836
869	52044	7776
870	52103	7716
871	52162	7656
872	52221	7596
873	52283	7537
874	52340	7477
875	52398	7417
876	52459	7357
877	52516	7297
878	52572	7236
879	52627	7176
880	52686	7116
881	52743	7056
882	52808	6997
883	52870	6937
884	52929	6877
885	53013	6821
886	53107	6765
887	53184	6707
888	53253	6649
889	53316	6589
890	53373	6529
891	53434	6469
892	53501	6410
893	53561	6350
894	53623	6291
895	53684	6231
896	53747	6171
897	53812	6112
898	53872	6052
899	53933	5992
900	53998	5933
901	54064	5873
902	54128	5814
903	54195	5755
904	54262	5696
905	54317	5635
906	54376	5575
907	54434	5515
908	54498	5455
909	54559	5395
910	54623	5336
911	54682	5276
912	54744	5216
913	54813	5157
914	54878	5098
915	54937	5037
916	54996	4977
917	55061	4918
918	55125	4858
919	55189	4799
920	55251	4739
921	55315	4679
922	55370	4619
923	55425	4558
924	55483	4498
925	55542	4438
926	55603	4378
927	55661	4318
928	55723	4258
929	55784	4198
930	55841	4138
931	55897	4078
932	55961	4018
933	56019	3958
934	56077	3898
935	56140	3838
936	56204	3778
937	56267	3719
938	56336	3659
939	56399	3599
940	56459	3539
941	56517	3479
942	56578	3419
943	56656	3360
944	56722	3301
945	56785	3241
946	56849	3181
947	56902	3121
948	56958	3061
949	57014	3000
950	57073	2940
951	57134	2880
952	57204	2821
953	57262	2761
954	57319	2700
955	57374	2640
956	57427	2580
957	57483	2520
958	57536	2459
959	57591	2399
960	57650	2339
961	57714	2279
962	57775	2219
963	57834	2159
964	57891	2099
965	57951	2039
966	58011	1979
967	58068	1919
968	58130	1859
969	58194	1799
970	58260	1740
971	58315	1679
972	58375	1619
973	58434	1559
974	58495	1499
975	58553	1439
976	58611	1379
977	58670	1319
978	58730	1259
979	58791	1199
980	58851	1139
981	58908	1079
982	58968	1019
983	59023	959
984	59078	899
985	59136	839
986	59195	779
987	59256	719
988	59315	659
989	59373	599
990	59431	539
991	59491	479
992	59550	419
993	59609	359
994	59661	299
995	59718	239
996	59782	179
997	59838	119
998	59895	59
999	59953	0
